Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
123336498,Manhattan,0,9/12/2017,7/30/2025,2877,7/22/2026,96,STEEL/WOOD,R,1084936,106,40.734,-73.98775,2,IRVING PLACE,1,00870,00024,EAGLE SCAFFOLDING SVCS IN,1,BIS,Local Law 11,Commercial District/Overlay
140113339,Manhattan,0,9/10/2013,7/30/2025,4340,4/15/2026,246,STEEL/WOOD,R,1033975,107,40.79014,-73.97734,571,WEST END AVENUE,1,01249,00036,EMPIRE NY INSTALLATIONS I,1,BIS,Local Law 11,Other Zoning Districts
140325734,Manhattan,0,3/31/2015,7/30/2025,3773,1/16/2026,34,WOOD/STEEL,R,1001474,101,40.71478,-74.00873,46,WARREN STREET,1,00136,00007,INTERSYSTEMS INSTAL S&S,1,BIS,Construction or Maintenance,Commercial District/Overlay
140419624,Manhattan,0,10/26/2015,7/30/2025,3564,4/22/2026,260,WOOD/STEEL,R,1001267,101,40.71033,-74.00739,129,FULTON STREET,1,00091,00013,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
140462416,Manhattan,0,2/25/2016,7/30/2025,3442,2/27/2026,222,STEEL/WOOD,R,1032651,107,40.78505,-73.98025,420,WEST END AVENUE,1,01228,00001,CORE SCAFFOLD SYSTEMS INC,1,BIS,Local Law 11,Other Zoning Districts
140468090,Manhattan,0,3/10/2016,7/30/2025,3428,7/8/2026,60,METAL AND WOOD,R,1082288,104,40.76659,-73.99323,556,WEST   52 STREET,1,01080,00103,PHOENIX SUTTON STR INC,1,BIS,Construction or Maintenance,Other Zoning Districts
140528329,Manhattan,0,8/3/2016,7/30/2025,3282,4/22/2026,256,STEEL/WOOD,R,1023388,105,40.76385,-73.98077,849,7 AVENUE,1,01007,00061,EMPIRE NY INSTALLATIONS I,1,BIS,Local Law 11,Commercial District/Overlay
140591321,Manhattan,0,1/23/2017,7/30/2025,3109,3/14/2026,158,WOOD / STEEL,R,1033304,107,40.79037,-73.976,264,WEST 89 STREET,1,01236,00058,PLATINUM SERVICES NY LLC,1,BIS,Local Law 11,Other Zoning Districts
140597478,Manhattan,0,1/24/2017,7/30/2025,3108,4/1/2026,110,STEEL/WOOD,R,1019481,106,40.74942,-73.97657,141,EAST 39 STREET,1,00895,00034,VEMA GROUP LLC,1,BIS,Local Law 11,Other Zoning Districts
140614823,Manhattan,0,3/24/2017,7/30/2025,3049,8/30/2025,90,STEEL& WOOD,R,1050342,108,40.78387,-73.94695,1850,2 AVENUE,1,01558,00050,TRIERA CONTRACTING INC,1,BIS,Local Law 11,Commercial District/Overlay
140629862,Manhattan,0,4/14/2017,7/30/2025,3028,1/29/2026,146,WOOD & STEEL,R,1001910,101,40.71713,-74.00431,349,BROADWAY,1,00174,00037,ROCKLEDGE SCAFFOLD CORP,1,BIS,Local Law 11,Commercial District/Overlay
140638139,Manhattan,0,6/6/2017,7/30/2025,2975,7/30/2025,63,WOOD/STEEL,R,1001904,101,40.71763,-74.00436,71,FRANKLIN STREET,1,00174,00028,PLATINUM SERVICES NY LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
140646399,Manhattan,0,6/8/2017,7/30/2025,2973,8/29/2025,390,WOOD AND STEEL,R,1001672,101,40.71402,-74.00391,2,LAFAYETTE STREET,1,00155,00001,ADP GROUP INC,1,BIS,Local Law 11,Commercial District/Overlay
140646406,Manhattan,0,6/8/2017,7/30/2025,2973,8/29/2025,305,WOOD AND STEEL,R,1078613,101,40.71439,-74.00478,22,READE STREET,1,00154,00023,ADP GROUP INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
140654520,Manhattan,0,6/13/2017,7/30/2025,2968,3/14/2026,93,WOOD/STEEL,R,1062085,109,40.82861,-73.94715,537,WEST 149 STREET,1,02081,00014,CS BRIDGE CORP,1,BIS,Local Law 11,Other Zoning Districts
220161278,Bronx,0,12/23/2011,7/30/2025,4967,10/11/2025,280,STEEL/WOOD,R,2002802,204,40.82718,-73.9219,900,GRAND CONCOURSE,2,02460,00001,SASCO CONSTRUCTION ENT,1,BIS,Local Law 11,Commercial District/Overlay
220604969,Bronx,0,8/14/2017,7/30/2025,2906,5/22/2026,480,STEEL/WOOD,R,2092708,209,40.82088,-73.85909,1850,LAFAYETTE AVENUE,2,03600,00025,J.K.CONSTRUCTION NEW YORK,1,BIS,Local Law 11,Other Zoning Districts
220604978,Bronx,0,8/14/2017,7/30/2025,2906,5/22/2026,372,STEEL/WOOD,R,2092718,209,40.82088,-73.85909,751,WHITE PLAINS ROAD,2,03600,00025,J.K.CONSTRUCTION NEW YORK,1,BIS,Local Law 11,Other Zoning Districts
220604987,Bronx,0,8/14/2017,7/30/2025,2906,5/22/2026,364,STEEL/WOOD,R,2092711,209,40.82088,-73.85909,1880,LAFAYETTE AVE,2,03600,00025,J.K.CONSTRUCTION NEW YORK,1,BIS,Local Law 11,Other Zoning Districts
240018896,Bronx,0,2/6/2013,7/30/2025,4556,5/29/2026,275,STEEL/WOOD,R,2015580,208,40.87461,-73.90182,2875,SEDGWICK AVENUE,2,03253,00255,EMPIRE NY INSTALLATIONS I,1,BIS,Local Law 11,Commercial District/Overlay
240083930,Bronx,0,12/15/2014,7/30/2025,3879,3/18/2026,1051,WOOD/STEEL,R,2015473,208,40.88437,-73.89068,80,VAN CORTLANDT PARK SOUTH,2,03252,00209,CEPRINE CONSTRUCTION INC,1,BIS,Local Law 11,Other Zoning Districts
240113505,Bronx,0,9/16/2015,7/30/2025,3604,4/7/2026,92,WOOD/STEEL,R,2109600,203,40.83293,-73.8912,1418,MINFORD PLACE,2,02977,00080,CS BRIDGE CORP,1,BIS,Local Law 11,Commercial District/Overlay
240133084,Bronx,0,2/24/2016,7/30/2025,3443,9/12/2025,296,STEEL/WOOD,R,2010481,203,40.83052,-73.89278,1312,INTERVALE AVENUE,2,02976,00001,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
240176019,Bronx,0,3/10/2017,7/30/2025,3063,5/23/2026,144,WOOD/STEEL,R,2012677,206,40.84734,-73.88833,2075,CLINTON AVENUE,2,03095,00045,COLGATE ENTERPRISE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
240177553,Bronx,0,3/23/2017,7/30/2025,3050,3/14/2026,50,STEEL/WOOD,R,2002893,204,40.83278,-73.92017,1125,GRAND CONCOURSE,2,02472,00034,SASCO CONSTRUCTION ENT,1,BIS,Construction or Maintenance,Other Zoning Districts
320254817,Brooklyn,0,1/5/2011,7/30/2025,5319,3/24/2026,125,TIMBER,R,3327720,309,40.65663,-73.94415,604,WINTHROP STREET,3,04829,00001,PICCO CONSTRUCTION LLC,0,BIS,Local Law 11,Other Zoning Districts
320254826,Brooklyn,0,1/5/2011,7/30/2025,5319,8/7/2025,125,TIMBER,R,3327719,309,40.65663,-73.94415,444,WINTHROP STREET,3,04829,00001,PJP INSTALLERS INC,0,BIS,Local Law 11,Other Zoning Districts
320559935,Brooklyn,0,10/12/2012,7/30/2025,4673,4/8/2026,589,WOOD/METAL,R,3059929,301,40.70478,-73.96262,540,BEDFORD AVENUE,3,02181,00035,CONG YETEV LEV D'SATMAR,1,BIS,Construction or Maintenance,Other Zoning Districts
321298387,Brooklyn,0,1/14/2016,7/30/2025,3484,9/25/2025,436,WOOD & STEEL,R,3000370,302,40.6904,-73.98239,9,DE KALB AVENUE,3,00149,07503,S&E BRIDGE & SCAFFOLD LLC,1,BIS,Construction or Maintenance,Other Zoning Districts
340248191,Brooklyn,0,4/14/2015,7/30/2025,3759,5/8/2026,1080,STEEL AND WOOD,R,3338422,301,40.70459,-73.9453,79,MANHATTAN AVENUE,3,03078,00001,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Other Zoning Districts
340250702,Brooklyn,0,4/22/2015,7/30/2025,3751,5/8/2026,1167,STEEL AND WOOD,R,3071200,301,40.70611,-73.94555,93,MANHATTAN AVENUE,3,03060,00075,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Other Zoning Districts
340250720,Brooklyn,0,4/22/2015,7/30/2025,3751,5/8/2026,1460,STEEL AND WOOD,R,3338423,301,40.70459,-73.9453,13,MOORE STREET,3,03078,00001,SPRING SCAFFOLDING LLC,1,BIS,Local Law 11,Other Zoning Districts
340334784,Brooklyn,0,12/15/2015,7/30/2025,3514,2/28/2026,87,STEEL/WOOD,R,3334868,301,40.70799,-73.96146,344,ROEBLING STREET,3,02148,00027,CORE SCAFFOLD SYSTEMS INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
340419531,Brooklyn,0,9/12/2016,7/30/2025,3242,2/25/2026,100,METAL & WOOD,R,3335223,302,40.69637,-73.97266,171,PARK AVENUE,3,02031,00054,SANYO S CONSTRUCTION CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
340484577,Brooklyn,0,4/5/2017,7/30/2025,3037,12/26/2025,120,STEEL/WOOD,R,3426030,301,40.71407,-73.95737,13,HOPE STREET,3,02368,00001,ARSENAL SCAFFOLD INC,1,BIS,Construction or Maintenance,Other Zoning Districts
420516873,Queens,0,12/20/2011,7/30/2025,4970,5/23/2026,400,STEEL BEAM/PIPE,R,4005022,401,40.75029,-73.93797,41-43,  28 STREET,4,00417,00002,TRIANGLE ENTERPRISE NYC I,1,BIS,Local Law 11,Other Zoning Districts
421106608,Queens,0,8/29/2017,7/30/2025,2891,10/30/2025,850,WOOD & STEEL,R,4156949,411,40.75769,-73.76901,46-02,BELL BOULEVARD,4,07316,00018,FIDELIS CONTRACTING INC,1,BIS,Construction or Maintenance,Other Zoning Districts
440413170,Queens,0,6/27/2017,7/30/2025,2954,6/3/2026,77,WOOD/STEEL,R,4539484,402,40.74604,-73.95486,5-17,  47 AVENUE,4,00028,00121,CS BRIDGE CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
520259087,Staten Island,0,1/28/2016,7/30/2025,3470,8/1/2025,80,WOOD & STEEL,R,5106863,501,40.62257,-74.07561,75,VANDERBILT AVENUE,5,00534,00001,SKYLINE SCAFFOLDING GROUP,1,BIS,Local Law 11,Other Zoning Districts
540129859,Staten Island,0,6/20/2017,7/30/2025,2961,8/23/2025,411,STEEL/WOOD,R,5166155,501,40.64166,-74.07505,35 A,BAY STREET,5,00001,07504,DHS FRACO LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
B00004656-I1,BROOKLYN,,2017-12-13,2025-07-30,2785,2026-01-26,413.0,,Permit Entire,3034161,309,40.6661,-73.95274,240,CROWN STREET,3,1296,14,VS CONSULTING ENGINEERING  PC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00005342-I1,BROOKLYN,,2017-12-21,2025-07-30,2777,2025-09-23,880.0,,Permit Entire,3000257,302,40.69389,-73.98942,360,ADAMS STREET,3,139,20,HD GROUP,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00012257-I1,BROOKLYN,,2018-01-26,2025-07-30,2741,2025-09-24,110.0,,Permit Entire,3010151,307,40.65623,-74.00353,142,33 STREET,3,684,25,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00019759-I1,BROOKLYN,,2018-03-09,2025-07-30,2699,2025-09-04,40.0,,Permit Entire,3182411,315,40.60975,-73.95876,1622,EAST 15 STREET,3,6777,15,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00020895-I1,BROOKLYN,,2018-02-20,2025-07-30,2716,2025-10-06,30.0,,Permit Entire,3140557,312,40.63589,-74.00818,821,59 STREET,3,5700,70,MCRB SERVICE CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00034406-I1,BROOKLYN,,2018-11-21,2025-07-30,2442,2025-12-22,141.0,,Permit Entire,3326054,306,40.68892,-73.99741,364,HENRY STREET,3,295,29,AE DESIGN SOLUTION INC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00040123-I1,BROOKLYN,,2018-05-03,2025-07-30,2644,2025-10-18,186.0,,Permit Entire,3062551,301,40.71228,-73.95184,82,AINSLIE STREET,3,2375,12,AE DESIGN SOLUTION INC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00074641-I1,BROOKLYN,,2018-08-30,2025-07-30,2525,2025-12-22,27.0,,Permit Entire,3830521,302,40.69438,-73.96833,114,WAVERLY AVENUE,3,1888,79,HAIDER ENGINEERING  P.E.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00076303-I1,BROOKLYN,,2018-09-07,2025-07-30,2517,2026-03-02,1225.0,,Permit Entire,3196598,313,40.57589,-73.96936,3100,OCEAN PARKWAY,3,7282,62,BRIAN T. O'CONNOR,1,DOB NOW,Local Law 11,Other Zoning Districts
B00077915-I1,BROOKLYN,,2018-09-20,2025-07-30,2504,2026-04-28,935.0,,Permit Entire,3215705,318,40.62976,-73.92457,1199,EAST 53 STREET,3,7779,22,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00077926-I1,BROOKLYN,,2018-09-25,2025-07-30,2499,2026-04-28,1036.0,,Permit Entire,3215627,318,40.62981,-73.92656,1275,EAST 51 STREET,3,7777,26,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00100445-I1,BROOKLYN,,2018-11-16,2025-07-30,2447,2025-08-01,133.0,,Permit Entire,3042707,316,40.67722,-73.90764,1906,EASTERN PARKWAY,3,1571,16,VS CONSULTING ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00121299-I1,BROOKLYN,,2019-01-28,2025-07-30,2374,2025-09-30,258.0,,Permit Entire,3080668,316,40.67207,-73.91077,1542,EAST NEW YORK AVENUE,3,3489,121,ASIF JAMIL  RA,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00127491-I1,BROOKLYN,,2019-02-08,2025-07-30,2363,2025-09-30,108.0,,Permit Entire,3071205,301,40.70689,-73.94404,136,MONTROSE AVENUE,3,3061,10,MOHAMMAD AHEAD - PE  PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00131843-I1,BROOKLYN,,2019-02-19,2025-07-30,2352,2026-04-01,122.0,,Permit Entire,3421358,313,40.57949,-73.96432,2960,BRIGHTON 4 STREET,3,8663,277,KZ ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00136865-I1,BROOKLYN,,2019-03-05,2025-07-30,2338,2026-04-11,859.0,,Permit Entire,3343252,305,40.67055,-73.8631,790,ELDERT LANE,3,4271,9001,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00136881-I1,BROOKLYN,,2019-03-02,2025-07-30,2341,2026-05-21,853.0,,Permit Entire,3343250,305,40.6726,-73.8657,760,ELDERT LANE,3,4271,9001,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00139334-I1,BROOKLYN,,2019-03-11,2025-07-30,2332,2026-04-11,868.0,,Permit Entire,3343256,305,40.6726,-73.8657,735,LINCOLN AVENUE,3,4271,9001,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00139336-I1,BROOKLYN,,2019-03-11,2025-07-30,2332,2026-04-11,873.0,,Permit Entire,3343260,305,40.67012,-73.86581,765,LINCOLN AVENUE,3,4271,9001,ASHRAF CORP,1,DOB NOW,Local Law 11,Other Zoning Districts
B00148159-I1,BROOKLYN,,2019-04-05,2025-07-30,2307,2026-01-27,531.0,,Permit Entire,3328126,316,40.66406,-73.90389,430,DUMONT AVENUE,3,3794,1,BITOPI CONSULTANTS LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00171610-I1,BROOKLYN,,2019-05-29,2025-07-30,2253,2025-08-05,358.0,,Permit Entire,3029314,308,40.67555,-73.96926,34,PLAZA STREET EAST,3,1170,9,CONAPAC SERVICES  DBA,1,DOB NOW,Local Law 11,Other Zoning Districts
B00182819-I1,BROOKLYN,,2019-06-20,2025-07-30,2231,2025-10-02,20.0,,Permit Entire,3056428,303,40.68647,-73.95691,105,QUINCY STREET,3,1970,41,BRIAN T. O'CONNOR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00183332-I1,BROOKLYN,,2019-06-25,2025-07-30,2226,2026-01-23,370.0,,Permit Entire,3041566,316,40.68089,-73.90908,24,MOTHER GASTON BOULEVARD,3,1528,33,TRIANGLE INSP & TEST SER INC.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00193456-I1,BROOKLYN,,2019-08-05,2025-07-30,2185,2026-04-28,864.0,,Permit Entire,3321839,313,40.5748,-73.99039,2936,WEST 23 STREET,3,7056,14,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00197233-I1,BROOKLYN,,2019-07-25,2025-07-30,2196,2026-01-23,582.0,,Permit Entire,3324697,316,40.68109,-73.90807,15,MOTHER GASTON BOULEVARD,3,1529,1,BITOPI CONSULTANTS LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00204261-I1,BROOKLYN,,2019-08-05,2025-07-30,2185,2025-11-03,30.0,,Permit Entire,3074626,304,40.70513,-73.9151,192,CYPRESS AVENUE,3,3272,34,VS CONSULTING ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00217193-I1,BROOKLYN,,2019-08-29,2025-07-30,2161,2025-10-18,125.0,,Permit Entire,3076154,304,40.69859,-73.91466,313,LINDEN STREET,3,3326,46,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00228782-I1,BROOKLYN,,2019-09-19,2025-07-30,2140,2026-03-05,150.0,,Permit Entire,3071200,301,40.70611,-73.94555,91,BOERUM STREET,3,3060,75,SAGHARI ARCHITECTURAL SERVICES P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00229160-I1,BROOKLYN,,2019-09-22,2025-07-30,2137,2025-09-03,275.0,,Permit Entire,3060114,301,40.70399,-73.96055,575,BEDFORD AVENUE,3,2193,1,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00243691-I1,BROOKLYN,,2019-10-23,2025-07-30,2106,2025-08-09,66.0,,Permit Entire,3044621,303,40.68716,-73.93789,481,MONROE STREET,3,1634,72,ASHRAF CORP,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00244884-I1,BROOKLYN,,2019-10-15,2025-07-30,2114,2026-01-13,1075.0,,Permit Entire,3057520,302,40.68293,-73.97016,483,CARLTON AVENUE,3,2007,1,JOEL PHAGOO P.E. PLLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00250991-I1,BROOKLYN,,2019-10-30,2025-07-30,2099,2026-01-13,48.0,,Permit Entire,3333523,303,40.68037,-73.92386,291,PATCHEN AVENUE,3,1688,1,TRIANGLE INSP & TEST SER INC.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00257046-I1,BROOKLYN,,2019-11-04,2025-07-30,2094,2026-01-16,88.0,,Permit Entire,3326947,316,40.6712,-73.90606,109,CHRISTOPHER AVENUE,3,3709,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Commercial District/Overlay
B00259715-I1,BROOKLYN,,2019-11-12,2025-07-30,2086,2025-09-10,110.0,,Permit Entire,3331330,306,40.68755,-73.99914,443,HICKS STREET,3,310,7502,VS CONSULTING ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00266702-I1,BROOKLYN,,2019-11-20,2025-07-30,2078,2026-03-02,50.0,,Permit Entire,3117573,314,40.64527,-73.96358,222,EAST 17 STREET,3,5120,26,VS CONSULTING ENGINEERING  PC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00273551-I1,BROOKLYN,,2019-12-04,2025-07-30,2064,2026-01-27,406.0,,Permit Entire,3328131,316,40.66406,-73.90389,383,LIVONIA AVENUE,3,3794,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00273584-I1,BROOKLYN,,2019-12-04,2025-07-30,2064,2026-01-27,513.0,,Permit Entire,3328130,316,40.66406,-73.90389,361,LIVONIA AVENUE,3,3794,1,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00285810-I1,BROOKLYN,,2019-12-30,2025-07-30,2038,2025-11-19,57.0,,Permit Entire,3153755,310,40.62101,-74.02751,452,87 STREET,3,6050,28,PAUL PERDEK  PROF. ENG. PLLC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00286620-I1,BROOKLYN,,2019-12-30,2025-07-30,2038,2025-12-22,60.0,,Permit Entire,3033471,309,40.668,-73.9575,991,CARROLL STREET,3,1280,58,HAIDER ENGINEERING  P.E.,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00289269-I1,BROOKLYN,,2019-12-31,2025-07-30,2037,2025-08-01,475.0,,Permit Entire,3850439,306,40.67049,-73.99026,456,4 AVENUE,3,1009,1,VS CONSULTING ENGINEERING  PC,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00290157-I1,BROOKLYN,,2020-01-20,2025-07-30,2017,2025-08-01,135.0,,Permit Entire,3048362,303,40.69821,-73.94951,499,MARCY AVENUE,3,1730,8,SYED ENGINEERING  P.C.,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00297525-I1,BROOKLYN,,2020-03-05,2025-07-30,1972,2025-08-03,70.0,,Permit Entire,3230163,318,40.64303,-73.89804,1177,EAST 98 STREET,3,8206,5,SYED ENGINEERING  P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00305568-I1,BROOKLYN,,2020-01-29,2025-07-30,2008,2025-10-18,49.0,,Permit Entire,3028314,308,40.67628,-73.95649,525,ST MARKS AVENUE,3,1149,61,DOOLING & COMPANY ARCHITECTS,1,DOB NOW,Construction or Maintenance,Commercial District/Overlay
B00306368-I1,BROOKLYN,,2020-02-01,2025-07-30,2005,2026-01-29,69.0,,Permit Entire,3341752,303,40.69438,-73.93515,50,STUYVESANT AVENUE,3,1595,24,IKRA CONSULTING LLC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00306672-I1,BROOKLYN,,2020-01-30,2025-07-30,2007,2025-09-19,30.0,,Permit Entire,3063345,301,40.70944,-73.95566,299,SOUTH 4 STREET,3,2436,33,BRIAN T. O'CONNOR,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00308048-I1,BROOKLYN,,2020-10-06,2025-07-30,1757,2025-09-25,270.0,,Permit Entire,3324389,308,40.67465,-73.9665,209,UNDERHILL AVENUE,3,1173,1,SYED ENGINEERING  P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00308420-I1,BROOKLYN,,2020-02-04,2025-07-30,2002,2025-11-19,176.0,,Permit Entire,3031299,308,40.6733,-73.94497,981,PARK PLACE,3,1235,50,KZ ENGINEERING  PC,1,DOB NOW,Local Law 11,Other Zoning Districts
B00309813-I1,BROOKLYN,,2020-02-07,2025-07-30,1999,2025-09-25,140.0,,Permit Entire,3324388,308,40.67465,-73.9665,203,UNDERHILL AVENUE,3,1173,1,SYED ENGINEERING  P.C.,1,DOB NOW,Local Law 11,Other Zoning Districts
B00325973-I1,BROOKLYN,,2020-05-06,2025-07-30,1910,2025-12-31,567.0,,Permit Entire,3098980,305,40.66488,-73.86596,757,WORTMAN AVENUE,3,4530,1,DSENY ENGINEERING SERVICES  PC,0,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00326128-I1,BROOKLYN,,2020-03-10,2025-07-30,1967,2025-09-26,308.0,,Permit Entire,3000370,302,40.6904,-73.98239,9,DEKALB AVENUE,3,149,7503,G. BLINN CONSULTING  LLC,1,DOB NOW,Construction or Maintenance,Other Zoning Districts
B00329359-I1,BROOKLYN,,2020-04-16,2025-07-30,1930,2026-03-31,900.0,,Permit Entire,3095889,305,40.67288,-73.86594,675,LINCOLN AVENUE,3,4271,5,DOOLING & COMPANY ARCHITECTS,1,DOB NOW,Local Law 11,Other Zoning Districts
